State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
Mississippi,2021,1.0,6.0,4.0,112.0,433.0,545.0,0.0,0.0,0.0,2.0,18.0,56.0,74.0,520.0
Missouri,2021,2.0,19.0,132.0,1047.0,2188.0,3235.0,0.0,0.0,0.0,1.0,23.0,40.0,63.0,2405.0
Montana,2021,0.0,1.0,2.0,75.0,212.0,287.0,0.0,0.0,0.0,0.0,17.0,11.0,28.0,243.0
Nebraska,2021,3.0,9.0,123.0,182.0,377.0,559.0,0.0,0.0,0.0,1.0,7.0,20.0,27.0,540.0
Nevada,2021,2.0,5.0,13.0,451.0,1361.0,1812.0,0.0,0.0,0.0,0.0,10.0,13.0,23.0,1404.0
New Hampshire,2021,2.0,4.0,0.0,164.0,357.0,521.0,0.0,0.0,0.0,0.0,6.0,12.0,18.0,381.0
New Jersey,2021,5.0,28.0,6.0,749.0,2021.0,2770.0,0.0,0.0,0.0,0.0,7.0,6.0,13.0,2073.0
New Mexico,2021,2.0,11.0,18.0,189.0,461.0,650.0,0.0,0.0,0.0,1.0,34.0,20.0,54.0,547.0
New York,2021,22.0,57.0,80.0,2983.0,7646.0,10629.0,0.0,1.0,1.0,0.0,17.0,29.0,46.0,7852.0
North Carolina,2021,110.0,37.0,101.0,1120.0,2789.0,3909.0,0.0,0.0,0.0,1.0,19.0,51.0,70.0,3108.0
North Dakota,2021,1.0,1.0,49.0,61.0,139.0,200.0,0.0,0.0,0.0,0.0,4.0,16.0,20.0,210.0
Ohio,2021,10.0,52.0,212.0,957.0,2224.0,3181.0,0.0,2.0,2.0,4.0,28.0,46.0,74.0,2578.0
Oklahoma,2021,1.0,116.0,88.0,313.0,1089.0,1402.0,0.0,0.0,0.0,0.0,32.0,86.0,118.0,1412.0
Oregon,2021,37.0,15.0,4.0,994.0,2433.0,3427.0,0.0,0.0,0.0,2.0,29.0,15.0,44.0,2535.0
Pennsylvania,2021,5.0,91.0,149.0,1148.0,2688.0,3836.0,0.0,0.0,0.0,3.0,40.0,42.0,82.0,3018.0
Rhode Island,2021,2.0,1.0,0.0,255.0,628.0,883.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,636.0
South Carolina,2021,33.0,11.0,46.0,385.0,870.0,1255.0,0.0,0.0,0.0,1.0,21.0,25.0,46.0,1007.0
